VOTER_ID,uplift_score,uplift_decile,MOVED_A
193801,0.00794794581468028,1,0
84502,0.020822581949163754,4,1
316168,0.020726645134202637,4,0
442652,0.043680020625970095,9,1
97342,0.019274888223053788,4,0
296786,-0.0007013415670039103,0,1
93508,0.018183493387362026,3,1
204846,0.03218257089297427,8,0
26024,0.01569222356799449,2,0
620068,0.03612770473601307,8,0
422971,0.023219459196074266,5,0
343304,0.024109498950888986,5,0
466109,0.016627712816715934,3,0
527106,0.022338214041798754,5,1
282031,0.02031307190735554,4,0
546145,0.017878415603155173,3,0
71421,0.026649769100275778,6,1
302885,0.028144278846533588,7,0
156240,0.01813182679284192,3,0
632762,0.004782231263868342,0,1
353482,0.0320756904128956,8,1
224848,0.025188252959211177,6,1
583861,0.024044716271198974,5,0
286707,0.014027954192709802,2,1
483739,0.016367366468783617,3,0
285631,0.03658023888875073,9,1
347320,0.03136465388734255,7,1
72593,0.018874619320643937,4,0
34124,0.03614822211759772,8,1
252038,0.03343943313107489,8,0
497810,0.027755235046563187,6,0
86024,0.03034302856136628,7,0
244532,0.012232865960166983,2,0
234479,0.008831397371039384,1,0
502413,0.01553694661191457,2,0
526509,0.0014559242742885892,0,0
356334,0.030056579314388432,7,0
484634,0.024409629153375356,6,0
291191,0.01569222356799449,2,0
290106,0.03343943313107489,8,0
394724,0.017517879956587434,3,0
268311,0.018531836437580274,4,0
353293,0.024109498950888986,5,0
104659,0.019401557568389516,4,0
170560,0.03422164997261368,8,1
233663,0.028621773388671112,7,0
107580,0.015212820670780947,2,0
497348,0.04276448464058091,9,1
356190,0.028621773388671112,7,1
207637,0.01589012961988906,2,0
491980,0.01931598442165422,4,0
271115,0.024109498950888986,5,0
560014,0.0033880219912403864,0,1
345229,0.022352383609449522,5,0
338985,0.026244185912191742,6,1
223913,0.00920180153708322,1,0
540858,0.00998595945623898,1,1
610277,0.03119578249579391,7,0
154515,0.008831397371039384,1,1
377181,0.025947930205292624,6,0
291016,0.025920678287746857,6,1
441837,0.014758999922605653,2,1
351593,0.007558779619404543,0,1
617261,0.017417159172094687,3,0
43832,0.03654758765689908,9,1
70620,0.01703090421645581,3,1
21697,0.006519694054454572,0,0
156848,0.016917768424763613,3,0
625985,0.019642875927213477,4,0
449441,0.01553694661191457,2,1
37643,0.013186244638489941,2,1
374386,0.03658023888875073,9,1
8067,0.024109498950888986,5,0
547633,0.022206274035340035,5,0
561992,0.009962028032739545,1,0
215804,0.02039814465668144,4,1
250566,0.03034302856136628,7,1
166545,0.0033880219912403864,0,1
6969,0.01697142405485741,3,1
358837,0.017881591714381806,3,1
321259,0.026649769100275778,6,1
